# codigo eBird|nombre cientifico|nombre comun (en ingles, el que usa el motor)
# Generado desde tector-hub-app/catalogo.js con el mismo contenido que el
# selector de la app. Lo usa el servidor para saber que especie sugirio la
# persona en un reporte: la app manda el codigo, y aca hace falta el nombre.
abbbab1|Malacocincla abbotti|Abbott's Babbler
abbwar1|Horornis flavolivaceus|Aberrant Bush Warbler
abetow|Melozone aberti|Abert's Towhee
abgthr1|Geokichla piaggiae|Abyssinian Ground-Thrush
abyrol2|Coracias abyssinicus|Abyssinian Roller
abythr1|Turdus abyssinicus|Abyssinian Thrush
wbweye1|Zosterops abyssinicus|Abyssinian White-eye
acafly|Empidonax virescens|Acadian Flycatcher
acowoo|Melanerpes formicivorus|Acorn Woodpecker
acrtot1|Hemitriccus cohnhafti|Acre Tody-Tyrant
adewar1|Setophaga adelaidae|Adelaide's Warbler
afepig1|Columba unicincta|Afep Pigeon
abethr1|Turdus tephronotus|African Bare-eyed Thrush
afbowl1|Glaucidium capense|African Barred Owlet
abhori1|Oriolus larvatus|African Black-headed Oriole
afbfly1|Elminia longicauda|African Blue Flycatcher
afbtit2|Cyanistes teneriffae|African Blue Tit
afrbro1|Smithornis capensis|African Broadbill
afcdov1|Streptopelia roseogrisea|African Collared-Dove
afcfly1|Trochocercus cyanomelas|African Crested-Flycatcher
afrcuc1|Cuculus gularis|African Cuckoo
afdfly1|Muscicapa adusta|African Dusky Flycatcher
afecuc1|Chrysococcyx cupreus|African Emerald Cuckoo
afffin|Lagonosticta rubricata|African Firefinch
affeag1|Haliaeetus vocifer|African Fish-Eagle
afffly1|Fraseria ocreata|African Forest-Flycatcher
afgori2|Oriolus auratus|African Golden Oriole
afgwea1|Ploceus subaureus|African Golden-Weaver
afrgos1|Accipiter tachiro|African Goshawk
afghor1|Lophoceros nasutus|African Gray Hornbill
grywoo1|Chloropicus goertae|African Gray Woodpecker
afrgrp1|Treron calvus|African Green-Pigeon
afhhaw1|Polyboroides typus|African Harrier-Hawk
afhbab1|Sylvia abyssinica|African Hill Babbler
afrjac1|Actophilornis africanus|African Jacana
afpswi1|Cypsiurus parvus|African Palm-Swift
afpfly1|Terpsiphone viridis|African Paradise-Flycatcher
jacpen1|Spheniscus demersus|African Penguin
afphor1|Lophoceros fasciatus|African Pied Hornbill
afpsta1|Lamprotornis bicolor|African Pied Starling
afpwag1|Motacilla aguimp|African Pied Wagtail
afrpip1|Anthus cinnamomeus|African Pipit
afrrai1|Rallus caerulescens|African Rail
afrwar1|Acrocephalus baeticatus|African Reed Warbler
afsowl1|Otus senegalensis|African Scops-Owl
afrsil1|Euodice cantans|African Silverbill
spocre2|Salpornis salvadori|African Spotted Creeper
afrsto1|Saxicola torquatus|African Stonechat
purswa2|Porphyrio madagascariensis|African Swamphen
afrtai2|Artisornis metopias|African Tailorbird
afrthr1|Turdus pelios|African Thrush
afwowl1|Strix woodfordii|African Wood-Owl
afywar1|Iduna natalensis|African Yellow-Warbler
agitit1|Uromyias agilis|Agile Tit-Tyrant
ahafra2|Pternistis ahantensis|Ahanta Francolin
akekee|Loxops caeruleirostris|Akekee
akiapo|Hemignathus wilsoni|Akiapolaau
akikik|Oreomystis bairdi|Akikiki
crehon|Palmeria dolei|Akohekohe
alatyr1|Phylloscartes ceciliae|Alagoas Tyrannulet
alblyr1|Menura alberti|Albert's Lyrebird
aldfly|Empidonax alnorum|Alder Flycatcher
aleter1|Onychoprion aleuticus|Aleutian Tern
alepar2|Psittacula eupatria|Alexandrine Parakeet
allhum|Selasphorus sasin|Allen's Hummingbird
allant1|Percnostola arenarum|Allpahuayo Antbird
alpacc1|Prunella collaris|Alpine Accentor
alpswi1|Apus melba|Alpine Swift
pltwar1|Phylloscopus soror|Alström's Warbler
alfant1|Hylopezus whittakeri|Alta Floresta Antpitta
altori|Icterus gularis|Altamira Oriole
scathr6|Zoothera major|Amami Thrush
amahum1|Amazilis amazilia|Amazilia Hummingbird
amakin1|Chloroceryle amazona|Amazon Kingfisher
